component,scenario,scenario_group,year,value,unit,source
Naphta,Naphtha a),Selected energy/feedstock,2049,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2050,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2025,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2026,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2027,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2028,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2029,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2030,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2031,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2032,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2033,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2034,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2035,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2036,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2037,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2038,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2039,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2040,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2041,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2042,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2043,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2044,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2045,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2046,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2047,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2048,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2049,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable naphtha,Renewable naphtha baseline,Selected energy/feedstock,2050,1350,€/t,Author assumption for purchased renewable naphtha; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2025,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2026,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
